country,region,year,earthquakeDeaths
Afghanistan,Asia,1970,0
Albania,Europe,1970,0
Algeria,Africa,1970,0
Argentina,Americas,1970,0
Armenia,Europe,1970,0
Australia,Asia,1970,0
Austria,Europe,1970,0
Azerbaijan,Europe,1970,0
Bangladesh,Asia,1970,0
Barbados,Americas,1970,0
Belgium,Europe,1970,0
Bolivia,Americas,1970,0
Brazil,Americas,1970,0
Bulgaria,Europe,1970,0
Burundi,Africa,1970,0
Chile,Americas,1970,0
China,Asia,1970,10000
Colombia,Americas,1970,430
"Congo, Dem. Rep.",Africa,1970,0
"Congo, Rep.",Africa,1970,0
Costa Rica,Americas,1970,0
Croatia,Europe,1970,0
Cuba,Americas,1970,0
Cyprus,Europe,1970,0
Dominica,Americas,1970,0
Dominican Republic,Americas,1970,0
Ecuador,Americas,1970,29
Egypt,Africa,1970,0
El Salvador,Americas,1970,0
Fiji,Asia,1970,0
Georgia,Europe,1970,0
Germany,Europe,1970,0
Greece,Europe,1970,0
Guatemala,Americas,1970,0
Guinea,Africa,1970,0
Honduras,Americas,1970,0
Iceland,Europe,1970,0
India,Asia,1970,26
Indonesia,Asia,1970,0
Iran,Asia,1970,176
Iraq,Asia,1970,0
Italy,Europe,1970,0
Japan,Asia,1970,0
Kazakhstan,Asia,1970,0
Kenya,Africa,1970,0
Kyrgyz Republic,Asia,1970,0
Malawi,Africa,1970,0
Mexico,Americas,1970,0
Morocco,Africa,1970,0
Mozambique,Africa,1970,0
Myanmar,Asia,1970,0
Nepal,Asia,1970,0
Netherlands,Europe,1970,0
New Zealand,Asia,1970,0
Nicaragua,Americas,1970,0
North Korea,Asia,1970,0
Pakistan,Asia,1970,0
Panama,Americas,1970,0
Papua New Guinea,Asia,1970,15
Peru,Americas,1970,66800
Philippines,Asia,1970,14
Poland,Europe,1970,0
Romania,Europe,1970,0
Russia,Europe,1970,0
Rwanda,Africa,1970,0
Slovenia,Europe,1970,0
Solomon Islands,Asia,1970,0
South Africa,Africa,1970,0
Spain,Europe,1970,0
St. Lucia,Americas,1970,0
Sudan,Africa,1970,0
Tajikistan,Asia,1970,0
Tanzania,Africa,1970,0
Thailand,Asia,1970,0
Tonga,Asia,1970,0
Trinidad and Tobago,Americas,1970,0
Turkey,Europe,1970,1090
Turkmenistan,Asia,1970,0
Uganda,Africa,1970,0
United Kingdom,Europe,1970,0
United States,Americas,1970,0
Uzbekistan,Asia,1970,0
Vanuatu,Asia,1970,0
Venezuela,Americas,1970,0
Yemen,Asia,1970,0
Afghanistan,Asia,1971,0
Albania,Europe,1971,0
Algeria,Africa,1971,0
Argentina,Americas,1971,0
Armenia,Europe,1971,0
Australia,Asia,1971,0
